algs,dataset,weighted,optimized,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
(svm_knn_mnb_rf_mlp)_w,autism,True,False,1.00,1.00,1.00,1.00,0.98,0.01,1.18
(svm_knn_mnb_rf_mlp),autism,False,False,0.96,0.97,0.95,0.96,0.98,0.01,0.46
(svm)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.96,0.02,0.01
(svm),bankruptcy,False,False,0.98,0.98,0.98,0.98,0.96,0.02,0.01
(knn)_opt,bankruptcy,False,True,0.98,0.98,0.98,0.98,0.96,0.02,0.02
(knn),bankruptcy,False,False,0.98,0.97,0.98,0.98,0.96,0.02,0.02
(mnb)_opt,bankruptcy,False,True,0.56,0.31,0.42,0.36,0.96,0.03,0.01
(mnb),bankruptcy,False,False,0.62,0.31,0.50,0.38,0.96,0.02,0.01
(rf)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.96,0.02,0.23
(rf),bankruptcy,False,False,1.00,1.00,1.00,1.00,0.95,0.02,0.03
(mlp)_opt,bankruptcy,False,True,0.80,0.78,0.82,0.79,0.95,0.01,0.11
(mlp),bankruptcy,False,False,0.82,0.82,0.81,0.81,0.95,0.02,0.11
(svm_knn_mnb)_w_opt,bankruptcy,True,True,1.00,1.00,1.00,1.00,0.95,0.02,0.03
(svm_knn_mnb)_opt,bankruptcy,False,True,0.98,0.97,0.98,0.98,0.96,0.03,0.02
(svm_knn_mnb)_w,bankruptcy,True,False,0.92,0.92,0.92,0.92,0.96,0.02,0.03
(svm_knn_mnb),bankruptcy,False,False,1.00,1.00,1.00,1.00,0.95,0.02,0.02
(svm_knn_rf)_w_opt,bankruptcy,True,True,1.00,1.00,1.00,1.00,0.96,0.02,0.48
(svm_knn_rf)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.96,0.02,0.25
(svm_knn_rf)_w,bankruptcy,True,False,1.00,1.00,1.00,1.00,0.95,0.01,0.08
(svm_knn_rf),bankruptcy,False,False,0.98,0.97,0.98,0.98,0.95,0.01,0.05
(svm_knn_mlp)_w_opt,bankruptcy,True,True,1.00,1.00,1.00,1.00,0.95,0.02,0.41
(svm_knn_mlp)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.95,0.02,0.13
(svm_knn_mlp)_w,bankruptcy,True,False,0.90,0.89,0.92,0.90,0.96,0.02,0.41
(svm_knn_mlp),bankruptcy,False,False,0.98,0.98,0.98,0.98,0.96,0.02,0.13
(svm_mnb_rf)_w_opt,bankruptcy,True,True,1.00,1.00,1.00,1.00,0.95,0.02,0.47
(svm_mnb_rf)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.96,0.02,0.24
(svm_mnb_rf)_w,bankruptcy,True,False,1.00,1.00,1.00,1.00,0.96,0.02,0.07
(svm_mnb_rf),bankruptcy,False,False,0.96,0.95,0.97,0.96,0.96,0.02,0.04
(svm_mnb_mlp)_w_opt,bankruptcy,True,True,0.92,0.94,0.90,0.91,0.96,0.02,0.39
(svm_mnb_mlp)_opt,bankruptcy,False,True,0.94,0.95,0.93,0.94,0.95,0.01,0.12
(svm_mnb_mlp)_w,bankruptcy,True,False,0.82,0.83,0.83,0.82,0.95,0.02,0.42
(svm_mnb_mlp),bankruptcy,False,False,0.90,0.91,0.90,0.90,0.95,0.02,0.12
(svm_rf_mlp)_w_opt,bankruptcy,True,True,0.98,0.98,0.98,0.98,0.95,0.02,0.87
(svm_rf_mlp)_opt,bankruptcy,False,True,1.00,1.00,1.00,1.00,0.95,0.02,0.35
